State,Crop,Season,Year,Area,Production,Yield
Andaman and Nicobar Islands,Arecanut,Autumn,2008-09,4147.0,3060.0,0.7378828068483241
Andaman and Nicobar Islands,Arecanut,Autumn,2009-10,4153.0,3120.0,0.7512641464001927
Andaman and Nicobar Islands,Arecanut,Kharif,2000-01,4354.0,7200.0,1.6536518144235186
Andaman and Nicobar Islands,Arecanut,Kharif,2001-02,4354.0,7300.0,1.6766192007349563
Andaman and Nicobar Islands,Arecanut,Kharif,2007-08,2439.6,3415.44,1.4000000000000001
Andaman and Nicobar Islands,Arecanut,Rabi,2007-08,1626.4,2276.96,1.4
Andaman and Nicobar Islands,Arecanut,Rabi,2010-11,4152.0,5800.0,1.3969171483622351
Andaman and Nicobar Islands,Arecanut,Rabi,2011-12,4220.0,5950.0,1.4099526066350712
Andaman and Nicobar Islands,Arecanut,Rabi,2012-13,4225.0,5975.0,1.4142011834319526
Andaman and Nicobar Islands,Arecanut,Rabi,2013-14,4290.9,9966.4,2.322682887040015
Andaman and Nicobar Islands,Arecanut,Rabi,2014-15,4669.5,9348.0,2.0019274012206876
Andaman and Nicobar Islands,Arecanut,Rabi,2015-16,4623.5,10327.5,2.2336974153779603
Andaman and Nicobar Islands,Arecanut,Rabi,2016-17,4619.5,10608.0,2.2963524190929756
Andaman and Nicobar Islands,Arecanut,Rabi,2017-18,3498.3,15283.369999999999,4.368799131006488
Andaman and Nicobar Islands,Arecanut,Rabi,2018-19,4075.6899999999996,12389.29,3.039801849502784
Andaman and Nicobar Islands,Arecanut,Rabi,2019-20,4335.8,10589.2,2.442271322477974
Andaman and Nicobar Islands,Arecanut,Summer,2008-09,4147.0,2660.0,0.6414275379792621
Andaman and Nicobar Islands,Arecanut,Summer,2009-10,4153.0,2080.0,0.5008427642667951
Andaman and Nicobar Islands,Arecanut,Whole Year,2002-03,4363.0,7350.0,1.6846206738482696
Andaman and Nicobar Islands,Arecanut,Whole Year,2003-04,4379.0,6707.0,1.5316282256222882
Andaman and Nicobar Islands,Arecanut,Whole Year,2004-05,4425.37,4781.05,1.0803729405676814
Andaman and Nicobar Islands,Arecanut,Whole Year,2005-06,4046.4500000000003,3058.46,0.7558378331624016
